DFS_winState,DFS_winningPathSize,DFS_remainingCells,DFS_cellSum,DFS_searchRatio,BFS_winState,BFS_winningPathSize,BFS_remainingCells,BFS_cellSum,BFS_searchRatio,AStar_winState,AStar_winningPathSize,AStar_remainingCells,AStar_cellSum,AStar_searchRatio
true,337,289.0,625.00,1.0,true,49,2.0,625.00,1.0,true,49,181.0,625.00,0.7744
true,239,286.0,616.00,0.8571428571428571,true,49,2.0,616.00,1.0,true,49,117.0,616.00,0.5698051948051948
true,239,288.0,614.00,0.8566775244299675,true,49,2.0,614.00,1.0,true,49,107.0,614.00,0.5195439739413681
true,241,276.0,608.00,0.8486842105263158,true,49,1.0,608.00,1.0,true,49,146.0,608.00,0.6842105263157895
true,197,248.0,603.00,0.736318407960199,true,49,2.0,603.00,1.0,true,49,123.0,603.00,0.7296849087893864
true,221,272.0,592.00,0.9087837837837838,true,49,2.0,592.00,1.0,true,49,108.0,592.00,0.5422297297297297
true,199,233.0,594.00,0.7255892255892256,true,49,2.0,594.00,1.0,true,49,139.0,594.00,0.5909090909090909
true,139,190.0,581.00,0.8640275387263339,true,49,2.0,581.00,1.0,true,49,110.0,581.00,0.49225473321858865
true,189,250.0,584.00,0.8835616438356164,true,49,1.0,584.00,1.0,true,49,108.0,584.00,0.7414383561643836
true,189,247.0,565.00,0.8442477876106195,true,49,2.0,565.00,1.0,true,49,116.0,565.00,0.5610619469026549
true,151,180.0,566.00,0.5848056537102474,true,49,1.0,566.00,1.0,true,49,112.0,566.00,0.657243816254417
true,151,177.0,563.00,0.6145648312611013,true,49,2.0,563.00,1.0,true,49,153.0,563.00,0.7744227353463587
true,145,196.0,559.00,0.6565295169946332,true,49,1.0,559.00,1.0,true,49,154.0,559.00,0.7871198568872988
true,159,172.0,549.00,0.6010928961748634,true,49,2.0,549.00,1.0,true,49,84.0,549.00,0.4918032786885246
true,119,128.0,532.00,0.48120300751879697,true,49,2.0,532.00,1.0,true,49,91.0,532.00,0.5244360902255639
true,161,190.0,539.00,0.6549165120593692,true,49,2.0,539.00,1.0,true,49,98.0,539.00,0.4842300556586271
true,167,170.0,515.00,0.6854368932038835,true,49,2.0,515.00,0.9941747572815534,true,49,111.0,515.00,0.7087378640776699
true,135,145.0,516.00,0.5949612403100775,true,49,1.0,516.00,1.0,true,49,84.0,516.00,0.7965116279069767
true,139,144.0,512.00,0.71875,true,49,2.0,512.00,0.998046875,true,49,75.0,512.00,0.44921875
true,115,88.0,507.00,0.6153846153846154,true,49,2.0,507.00,0.9960552268244576,true,49,100.0,507.00,0.6607495069033531
true,173,168.0,507.00,0.7613412228796844,true,49,2.0,507.00,0.9940828402366864,true,49,103.0,507.00,0.7218934911242604
true,87,80.0,495.00,0.35555555555555557,true,49,2.0,495.00,0.9919191919191919,true,49,61.0,495.00,0.4222222222222222
true,69,57.0,496.00,0.28024193548387094,true,49,2.0,496.00,0.9979838709677419,true,49,84.0,496.00,0.5080645161290323
true,95,95.0,486.00,0.42386831275720166,true,49,2.0,486.00,0.9958847736625515,true,49,77.0,486.00,0.6152263374485597
true,53,27.0,458.00,0.18995633187772926,true,49,2.0,458.00,0.9890829694323144,true,51,40.0,458.00,0.5131004366812227
true,137,103.0,470.00,0.574468085106383,true,49,2.0,470.00,0.9723404255319149,true,49,76.0,470.00,0.6382978723404256
true,67,45.0,438.00,0.3538812785388128,true,49,1.0,438.00,0.9840182648401826,true,49,57.0,438.00,0.4497716894977169
true,107,86.0,458.00,0.5109170305676856,true,49,1.0,458.00,0.9432314410480349,true,49,53.0,458.00,0.4606986899563319
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
true,109,76.0,425.00,0.691764705882353,true,59,1.0,425.00,0.9552941176470588,true,59,16.0,425.00,0.8164705882352942
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
true,57,31.0,429.00,0.8065268065268065,true,51,7.0,429.00,0.7086247086247086,true,51,20.0,429.00,0.37995337995337997
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
true,85,48.0,398.00,0.6306532663316583,true,51,1.0,398.00,0.8994974874371859,true,51,25.0,398.00,0.3793969849246231
