DFS_winState,DFS_winningPathSize,DFS_remainingCells,DFS_cellSum,DFS_searchRatio,BFS_winState,BFS_winningPathSize,BFS_remainingCells,BFS_cellSum,BFS_searchRatio,AStar_winState,AStar_winningPathSize,AStar_remainingCells,AStar_cellSum,AStar_searchRatio
true,337,289.0,625.00,1.0,true,49,2.0,625.00,1.0,true,49,181.0,625.00,0.7744
true,289,285.0,619.00,0.925686591276252,true,49,2.0,619.00,1.0,true,49,114.0,619.00,0.5831987075928917
true,241,276.0,611.00,0.9705400981996727,true,49,1.0,611.00,1.0,true,49,149.0,611.00,0.707037643207856
true,205,246.0,597.00,0.9681742043551089,true,49,2.0,597.00,1.0,true,49,137.0,597.00,0.7252931323283082
true,239,294.0,602.00,0.8887043189368771,true,49,2.0,602.00,1.0,true,49,93.0,602.00,0.4983388704318937
true,197,250.0,601.00,0.8835274542429284,true,49,2.0,601.00,1.0,true,49,182.0,601.00,0.78369384359401
true,233,259.0,593.00,0.8650927487352446,true,49,2.0,593.00,1.0,true,49,128.0,593.00,0.5834738617200674
true,191,248.0,571.00,0.7740805604203153,true,49,2.0,571.00,1.0,true,49,84.0,571.00,0.46234676007005254
true,163,211.0,579.00,0.7063903281519862,true,49,3.0,579.00,1.0,true,49,120.0,579.00,0.6511226252158895
true,159,196.0,570.00,0.7070175438596491,true,49,1.0,570.00,1.0,true,49,115.0,570.00,0.868421052631579
true,177,219.0,565.00,0.8707964601769912,true,49,2.0,565.00,1.0,true,49,111.0,565.00,0.6743362831858407
true,117,132.0,553.00,0.47920433996383366,true,49,2.0,553.00,1.0,true,49,122.0,553.00,0.918625678119349
true,139,176.0,546.00,0.8498168498168498,true,49,1.0,546.00,0.9981684981684982,true,49,75.0,546.00,0.4816849816849817
true,159,174.0,530.00,0.6943396226415094,true,49,2.0,530.00,1.0,true,49,93.0,530.00,0.5471698113207547
true,129,134.0,534.00,0.6779026217228464,true,49,1.0,534.00,0.99812734082397,true,49,60.0,534.00,0.34831460674157305
true,83,75.0,534.00,0.5131086142322098,true,49,2.0,534.00,0.99812734082397,true,49,94.0,534.00,0.5767790262172284
true,109,103.0,516.00,0.4883720930232558,true,49,2.0,516.00,0.998062015503876,true,49,84.0,516.00,0.6027131782945736
true,91,91.0,517.00,0.36363636363636365,true,49,1.0,517.00,1.0,true,49,57.0,517.00,0.41005802707930367
true,129,144.0,515.00,0.654368932038835,true,49,1.0,515.00,0.996116504854369,true,49,73.0,515.00,0.49320388349514566
