DFS_winState,DFS_winningPathSize,DFS_remainingCells,DFS_cellSum,DFS_searchRatio,BFS_winState,BFS_winningPathSize,BFS_remainingCells,BFS_cellSum,BFS_searchRatio,AStar_winState,AStar_winningPathSize,AStar_remainingCells,AStar_cellSum,AStar_searchRatio
true,337,289.0,625.00,1.0,true,49,2.0,625.00,1.0,true,49,181.0,625.00,0.7744
true,289,299.0,621.00,0.9806763285024155,true,49,2.0,621.00,1.0,true,49,69.0,621.00,0.37681159420289856
true,269,296.0,613.00,0.965742251223491,true,49,2.0,613.00,1.0,true,49,141.0,613.00,0.6133768352365416
true,241,264.0,599.00,0.8414023372287145,true,49,2.0,599.00,1.0,true,49,114.0,599.00,0.5358931552587646
true,241,275.0,602.00,0.8554817275747508,true,49,2.0,602.00,1.0,true,49,126.0,602.00,0.7508305647840532
true,201,259.0,599.00,0.8447412353923205,true,49,1.0,599.00,1.0,true,49,114.0,599.00,0.5158597662771286
true,201,253.0,581.00,0.7814113597246127,true,49,2.0,581.00,1.0,true,49,93.0,581.00,0.45438898450946646
true,195,253.0,583.00,0.7667238421955404,true,49,2.0,583.00,1.0,true,49,125.0,583.00,0.6329331046312179
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
true,187,249.0,576.00,0.7864583333333334,true,49,1.0,576.00,1.0,true,49,117.0,576.00,0.5069444444444444
true,195,224.0,561.00,0.839572192513369,true,49,2.0,561.00,1.0,true,49,103.0,561.00,0.49019607843137253
true,151,183.0,549.00,0.7741347905282332,true,49,1.0,549.00,1.0,true,49,62.0,549.00,0.3151183970856102
true,161,169.0,551.00,0.7586206896551724,true,49,3.0,551.00,1.0,true,49,80.0,551.00,0.46098003629764067
true,145,175.0,548.00,0.7098540145985401,true,49,2.0,548.00,0.9981751824817519,true,49,100.0,548.00,0.6167883211678832
true,147,180.0,557.00,0.5870736086175943,true,49,1.0,557.00,0.9982046678635548,true,49,113.0,557.00,0.6409335727109515
true,151,177.0,545.00,0.6385321100917432,true,49,2.0,545.00,0.998165137614679,true,49,73.0,545.00,0.42385321100917434
true,115,93.0,513.00,0.46393762183235865,true,49,2.0,513.00,1.0,true,49,59.0,513.00,0.38791423001949316
true,103,110.0,515.00,0.6776699029126214,true,49,1.0,515.00,0.9864077669902913,true,49,105.0,515.00,0.6601941747572816
true,97,92.0,503.00,0.68389662027833,true,49,2.0,503.00,0.9940357852882704,true,49,61.0,503.00,0.3976143141153082
true,155,159.0,519.00,0.6685934489402697,true,49,2.0,519.00,1.0,true,49,107.0,519.00,0.74373795761079
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
true,171,142.0,502.00,0.6573705179282868,true,49,2.0,502.00,0.9920318725099602,true,49,59.0,502.00,0.398406374501992
true,175,155.0,489.00,0.7750511247443763,true,49,2.0,489.00,0.9959100204498977,true,49,58.0,489.00,0.4069529652351738
true,109,103.0,493.00,0.4482758620689655,true,49,2.0,493.00,0.9979716024340771,true,49,89.0,493.00,0.7849898580121704
true,107,112.0,476.00,0.6785714285714286,true,49,4.0,476.00,0.976890756302521,true,49,67.0,476.00,0.49159663865546216
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
true,151,101.0,445.00,0.6651685393258427,true,49,2.0,445.00,0.9820224719101124,true,49,49.0,445.00,0.5325842696629214
true,83,69.0,482.00,0.8983402489626556,true,49,3.0,482.00,0.9813278008298755,true,51,35.0,482.00,0.7614107883817427
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
true,117,71.0,445.00,0.5438202247191011,true,49,6.0,445.00,0.9730337078651685,true,49,41.0,445.00,0.3775280898876405
true,83,53.0,423.00,0.3380614657210402,true,49,1.0,423.00,0.9692671394799054,true,51,41.0,423.00,0.6713947990543735
true,109,63.0,434.00,0.543778801843318,true,55,12.0,434.00,0.8087557603686636,true,55,16.0,434.00,0.6013824884792627
true,71,28.0,426.00,0.8873239436619719,true,61,3.0,426.00,0.9647887323943662,true,61,33.0,426.00,0.7629107981220657
true,57,24.0,417.00,0.42206235011990406,true,51,5.0,417.00,0.9232613908872902,true,53,41.0,417.00,0.5347721822541966
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
false,0,null,0.00,null,false,0,null,0.00,null,false,0,null,0.00,null
